City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
246,Okhotsk,RU,59.3833,143.3,-8.77,75,94,13.13,overcast clouds
247,Tambovka,RU,50.0969,128.0489,14.22,90,100,2.82,overcast clouds
248,Bangkalan,ID,-7.0455,112.7351,89.55,76,72,12.53,broken clouds
249,Alcanede,PT,39.415,-8.8219,49.86,70,0,10.29,clear sky
250,Yanam,IN,16.7333,82.2167,89.38,39,92,3.06,overcast clouds
251,New London,US,41.4834,-72.0662,54.12,91,100,5.75,overcast clouds
252,Kruisfontein,ZA,-34.0033,24.7314,70.79,64,0,7.58,clear sky
253,Boa Vista,BR,2.8197,-60.6733,76.98,78,75,12.66,broken clouds
254,Pula,HR,44.8683,13.8481,28.96,54,0,8.05,clear sky
255,Ankara,TR,39.9199,32.8543,27.52,86,75,3.44,broken clouds
256,Burnie,AU,-41.0667,145.9167,76.95,60,83,4.92,broken clouds
257,Fukue,JP,32.6881,128.8419,53.96,76,75,14.97,broken clouds
258,Antsohihy,MG,-14.8796,47.9875,76.59,86,100,3.94,overcast clouds
259,Dzilam Gonzalez,MX,21.2833,-88.9333,71.83,85,2,5.37,clear sky
260,Katsuura,JP,35.1333,140.3,39.22,86,100,17.27,light rain
261,Karatau,KZ,43.1667,70.4667,19.56,74,20,8.01,few clouds
262,Pryozerne,UA,45.2698,36.3303,27.27,71,5,12.33,clear sky
263,Yenagoa,NG,4.9247,6.2642,76.95,92,13,2.28,few clouds
264,Aswan,EG,24.0934,32.907,52.9,50,0,9.22,clear sky
265,Namtsy,RU,62.7161,129.6658,-29.83,95,94,3.42,overcast clouds
266,San Cristobal,VE,7.7669,-72.225,64.58,91,89,1.28,overcast clouds
267,Ancud,CL,-41.8697,-73.8203,58.57,99,99,7.74,light rain
268,Papetoai,PF,-17.4961,-149.8729,81.99,75,6,11.83,light rain
269,Padang,ID,-0.9492,100.3543,86.05,64,95,6.44,overcast clouds
270,Sibiti,CG,-3.6819,13.3499,67.77,95,98,0.67,overcast clouds
271,Luanda,AO,-8.8368,13.2343,77.0,83,75,4.61,broken clouds
272,Havre-Saint-Pierre,CA,50.2334,-63.5986,6.8,65,0,8.05,clear sky
273,Talara,PE,-4.5772,-81.2719,76.26,81,90,6.85,overcast clouds
274,Kendari,ID,-3.945,122.4989,85.48,69,99,4.56,overcast clouds
275,Itoman,JP,26.1247,127.6694,69.82,81,75,19.57,broken clouds
276,Alekseyevka,RU,50.6309,38.6903,20.89,96,96,6.15,overcast clouds
277,High Rock,BS,26.6208,-78.2833,73.42,71,6,13.91,clear sky
278,Yuzhno-Kurilsk,RU,44.0306,145.8556,17.37,60,57,4.83,broken clouds
279,Kearney,US,40.6995,-99.0815,23.58,83,75,12.66,broken clouds
280,Elliot Lake,CA,46.3834,-82.6331,30.18,93,100,10.4,overcast clouds
281,Bowen,AU,-20.0167,148.2333,81.75,65,1,9.28,clear sky
282,Lasa,IT,46.6166,10.7002,27.48,52,22,6.26,few clouds
283,Candolim,IN,15.5181,73.7626,84.2,70,94,4.61,haze
284,Tessalit,ML,20.1986,1.0114,65.46,12,23,10.76,few clouds
285,Kolosovka,RU,56.4678,73.611,6.44,93,81,6.96,broken clouds
286,Kununurra,AU,-15.7667,128.7333,93.18,52,85,14.97,light rain
287,Puerto Quijarro,BO,-17.7833,-57.7667,75.67,85,47,1.05,scattered clouds
288,Lukovetskiy,RU,64.2956,41.9211,26.24,94,100,10.8,light snow
289,Wladyslawowo,PL,54.7909,18.4009,38.48,91,100,21.61,overcast clouds
290,Moose Factory,CA,51.2585,-80.6094,15.8,73,100,6.91,overcast clouds
291,Banda Aceh,ID,5.5577,95.3222,82.85,75,33,7.85,scattered clouds
292,Bonavista,CA,48.6499,-53.1147,18.61,74,100,20.54,overcast clouds
293,Kaitangata,NZ,-46.2817,169.8464,58.66,61,74,5.66,broken clouds
294,Kupang,ID,-10.1667,123.5833,86.58,79,75,12.66,broken clouds
295,Namatanai,PG,-3.6667,152.4333,82.08,77,98,12.95,light rain
296,Fenoarivo,MG,-18.933,47.4354,73.47,60,20,12.66,few clouds
297,Adrar,MR,20.5022,-10.0711,64.58,20,100,8.48,overcast clouds
298,Nouakchott,MR,18.0858,-15.9785,66.13,71,99,23.49,overcast clouds
299,Yulara,AU,-25.2406,130.9889,102.09,10,0,2.62,clear sky
300,Kiunga,PG,-6.1219,141.2906,83.57,82,100,4.76,overcast clouds
301,Vila Franca Do Campo,PT,37.7167,-25.4333,55.81,82,58,9.93,broken clouds
302,Bonthe,SL,7.5264,-12.505,74.82,89,63,4.07,light rain
303,Doha,QA,25.2867,51.5333,62.58,48,0,23.02,clear sky
304,Bagua Grande,PE,-5.7561,-78.4411,73.02,85,85,3.29,light rain
305,Esperance,AU,-33.8667,121.9,75.04,56,0,12.75,clear sky
306,Hofn,IS,64.2539,-15.2082,31.75,97,100,13.71,snow
307,Minsk,BY,53.9,27.5667,22.75,89,86,14.2,overcast clouds
308,Rybnaya Sloboda,RU,55.4613,50.1409,10.58,98,99,8.1,overcast clouds
309,Chandler,US,33.3062,-111.8412,57.78,17,0,4.0,clear sky
310,Kuchinarai,TH,16.541,104.05,95.77,32,4,7.65,clear sky
311,Saint-Augustin,CA,51.226,-58.6502,-4.65,89,4,6.78,clear sky
312,North Myrtle Beach,US,33.816,-78.68,64.36,96,40,13.8,scattered clouds
313,Chuy,UY,-33.6971,-53.4616,67.41,90,0,2.1,clear sky
314,Vilyuysk,RU,63.7553,121.6247,-29.31,93,81,5.99,broken clouds
315,San Patricio,US,28.017,-97.5169,60.66,63,100,4.9,overcast clouds
316,Ulaangom,MN,49.9811,92.0667,-3.95,91,100,3.47,overcast clouds
317,Haines Junction,CA,60.7522,-137.5108,12.15,73,100,8.05,light snow
318,Cartagena,CO,10.3997,-75.5144,76.62,83,0,3.44,clear sky
319,Haapiti,PF,-17.5667,-149.8667,82.13,74,7,10.4,light rain
320,Soyo,AO,-6.1349,12.3689,78.87,81,66,6.62,broken clouds
321,Wakkanai,JP,45.4094,141.6739,17.58,67,75,3.44,broken clouds
322,Beloha,MG,-25.1667,45.05,84.11,54,14,7.83,few clouds
323,Tamandare,BR,-8.7597,-35.1047,77.63,85,51,8.46,broken clouds
324,Esmeraldas,BR,-19.7625,-44.3139,67.06,94,69,2.48,broken clouds
325,Quang Ngai,VN,15.1167,108.8,82.06,71,46,9.06,scattered clouds
326,Terme,TR,41.2092,36.9739,35.53,88,39,7.72,scattered clouds
327,Sawtell,AU,-30.3833,153.1,78.82,61,16,10.36,few clouds
328,Kargasok,RU,59.0556,80.8572,4.62,89,41,6.55,scattered clouds
329,Merke,KZ,42.8728,73.1786,21.0,88,85,4.47,overcast clouds
330,Mahibadhoo,MV,3.7833,72.9667,80.83,67,74,11.52,broken clouds
331,Auki,SB,-8.7676,160.7034,83.79,70,100,2.77,overcast clouds
332,Port Macquarie,AU,-31.4333,152.9167,79.9,63,17,12.24,few clouds
333,Manbij,SY,36.5281,37.9549,35.6,62,21,9.37,few clouds
334,Brooks,CA,50.5834,-111.8851,35.58,76,62,4.61,broken clouds
335,Gornyak,RU,50.9942,81.4661,4.59,92,100,5.82,overcast clouds
336,Waspan,NI,14.7419,-83.9717,68.97,98,15,2.3,few clouds
337,Abu Dhabi,AE,24.4667,54.3667,66.31,59,20,20.71,few clouds
338,Mount Gambier,AU,-37.8333,140.7667,85.62,33,0,7.56,clear sky
339,Frederico Westphalen,BR,-27.3592,-53.3944,66.65,70,96,2.55,overcast clouds
340,Bandar,ID,2.05,99.75,82.58,84,88,1.16,overcast clouds
341,Podor,MR,16.6527,-14.9587,71.55,64,0,4.61,clear sky
342,Talavera De La Reina,ES,39.9635,-4.8308,36.21,79,3,9.89,clear sky
343,Port Hardy,CA,50.6996,-127.4199,41.18,100,100,6.91,light rain
344,Lumphat,KH,13.4878,106.9816,98.46,24,8,3.91,clear sky
345,Mugur-Aksy,RU,50.35,90.5,12.72,90,100,4.43,light snow
346,Deputatskiy,RU,69.3,139.9,-41.75,98,84,3.8,broken clouds
